gene,Group,degree,tau
MLH1,Frameshift,616,0.6354870314628441
MN1,Frameshift,100,0.8721329490177867
MNX1,Frameshift,108,0.9148373273483748
MPL,Frameshift,272,0.7394531216192701
MSH6,Frameshift,606,0.7651806104123176
MYH7,Frameshift,362,0.985294463525198
MYH9,Frameshift,550,0.8573064288659175
MYO6,Frameshift,438,0.5049157520381585
NIPBL,Frameshift,430,0.5265020738937766
NKX2-1,Frameshift,398,0.9955389723993988
NKX2-5,Frameshift,468,0.9787873294916508
NOTCH2,Frameshift,440,0.7674102569528441
NOTCH3,Frameshift,432,0.9047012979954216
NSD2,Frameshift,444,0.7912111150821501
PALB2,Frameshift,322,0.6796325601372778
PHOX2B,Frameshift,124,0.9717612151148916
PIEZO1,Frameshift,106,0.673896139562525
PKD1,Frameshift,240,0.9242172827354568
PLCB4,Frameshift,358,0.8705532392301369
PLEC,Frameshift,738,0.7337288861791247
POLG,Frameshift,312,0.5335083541311676
PPM1D,Frameshift,166,0.7148485484336485
PPP3CA,Frameshift,440,0.8393203343650053
PRPH2,Frameshift,254,0.7929612758205871
RASA1,Frameshift,428,0.6821540195958068
RDH12,Frameshift,220,0.9673375360746804
ROR2,Frameshift,146,0.8446723439964896
RORB,Frameshift,164,0.9311695754606326
RP1,Frameshift,50,0.9364700560324624
RPE65,Frameshift,266,0.974239965344657
SATB1,Frameshift,142,0.5996451396181364
SCN3A,Frameshift,176,0.8522214952469623
SCN4A,Frameshift,256,0.9789245349074186
SCN5A,Frameshift,438,0.9715692145249114
SDHB,Frameshift,702,0.5619069041090546
SDHD,Frameshift,400,0.4668467567376388
SEMA6B,Frameshift,154,0.8007248017405875
SERPING1,Frameshift,214,0.7407554303483027
SETX,Frameshift,424,0.6717552867031983
SHH,Frameshift,1062,0.9425357755041625
SLC3A1,Frameshift,176,0.931751768385486
SLC40A1,Frameshift,170,0.8875359224518539
SLC4A1,Frameshift,210,0.9879259378925008
SOX9,Frameshift,844,0.8534654901611185
SPRED1,Frameshift,236,0.6858111435729681
STUB1,Frameshift,626,0.4421773571768123
TBR1,Frameshift,276,0.98212601984291
TBX3,Frameshift,300,0.915208548328226
TCAP,Frameshift,296,0.980989365563416
TEK,Frameshift,458,0.8477730580892597
TGFB3,Frameshift,458,0.8063049404826003
TGFBR2,Frameshift,478,0.7609918217400896
THRA,Frameshift,228,0.751745113796535
TRPC6,Frameshift,256,0.9039665263211608
TRPS1,Frameshift,102,0.787462777923306
VHL,Frameshift,358,0.7133568531639026
WFS1,Frameshift,234,0.7363510045039251
WNT1,Frameshift,684,0.917792415750198
WNT10A,Frameshift,208,0.976957797811235
ZFHX3,Frameshift,126,0.8582261788344843
ZIC2,Frameshift,158,0.984459065131592
ZNF148,Frameshift,84,0.5610893420599934
ZNF292,Frameshift,76,0.752052123336505
RYR2,FS Control,478,0.941193915922766
CACNA1E,FS Control,262,0.9359309790534804
PDE10A,FS Control,272,0.8731204141881005
MPO,FS Control,548,0.9661233035862046
KCNQ3,FS Control,396,0.9037093330509018
NF1,FS Control,748,0.5800727563272441
ARFGEF1,FS Control,228,0.5768757186857426
FLNB,FS Control,202,0.7722366277994653
IMPG1,FS Control,96,0.891872680829971
POLD1,FS Control,706,0.8438711530782794
CYP19A1,FS Control,372,0.9587499958125606
SYCP2,FS Control,230,0.9508749217731408
CTNNA1,FS Control,512,0.6299639500016848
MTOR,FS Control,1370,0.6280684428711042
DCC,FS Control,234,0.9590051141607916
COL5A2,FS Control,312,0.9133959123308824
CAMTA1,FS Control,96,0.8400609688681914
KCNC3,FS Control,338,0.92681521529549
NEXN,FS Control,170,0.8550850044803394
ZMYM2,FS Control,190,0.6485670270087389
CHD3,FS Control,602,0.7008075854548422
SLC30A2,FS Control,84,0.963456080376294
KCNQ5,FS Control,354,0.9280102449234322
TRIO,FS Control,98,0.71467396969493735
VPS16,FS Control,268,0.5072398982180387
CETP,FS Control,214,0.963696335967254
CSNK2A1,FS Control,600,0.6168635231606572
SPTAN1,FS Control,452,0.7606006891450411
SIK1,FS Control,88,0.9130715051158048
TRRAP,FS Control,748,0.5973379037688377
AARS1,FS Control,384,0.6463808975232056
SLC25A4,FS Control,332,0.9119702515218658
WNK1,FS Control,156,0.7423469928178777
ADCY10,FS Control,424,0.98790132340688
F12,FS Control,190,0.9734038037514972
