basename,n_scripts,any_absolute,path,bytes,found
snv_plp_ptc_p1120_NMDenriched2_long.txt,1,True,,,False
snv_plp_ptc_p1120_NMDenriched2_css.txt,1,True,,,False
submit_info.csv,1,False,/Users/qkelly/Desktop/clinvar/submit_info.csv,197920708.0,True
t find gene_all_matched.csv,1,False,,,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_NMDesc_enriched_can.txt,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_p_f_syn_20260201_NMDesc_enriched_can.txt,819.0,True
variants_all5.csv,1,False,/Users/qkelly/Desktop/clinvar/variants_all5.csv,35643279.0,True
wald_ppi_degree_centrality_results.csv,1,False,/Users/qkelly/Desktop/clinvar/wald_ppi_degree_centrality_results.csv,86990.0,True
variants_all_with_motif_LCS_flags.csv,1,False,,,False
variants_all_distance_list.csv,1,False,/Users/qkelly/Desktop/clinvar/variants_all_distance_list.csv,62510582.0,True
variants_all_continuous_summary.csv,1,False,,,False
variants_all_binary_summary.csv,1,False,,,False
variants_all5_1_0621.csv,1,False,/Users/qkelly/Desktop/clinvar/variants_all5_1_0621.csv,34001314.0,True
variants_all0805.csv,1,False,/Users/qkelly/Desktop/clinvar/variants_all0805.csv,39170405.0,True
tau_all.csv,1,False,/Users/qkelly/Desktop/clinvar/tau_all.csv,5033494.0,True
variants_all.csv,1,False,,,False
variant_summary.txt,1,False,/Users/qkelly/Desktop/clinvar/variant_summary.txt,3793890169.0,True
variant_motif_max3.csv,1,False,/Users/qkelly/Desktop/clinvar/variant_motif_max3.csv,30997066.0,True
variant_LCS_max3.csv,1,False,/Users/qkelly/Desktop/clinvar/variant_LCS_max3.csv,30806655.0,True
unipLocSignal.bed.csv,1,True,,,False
tau_gene_matrix.csv,1,False,/Users/qkelly/Desktop/clinvar/tau_gene_matrix.csv,21787646.0,True
snv_plp_ptc_p1120_NMDenriched2_all.txt,1,True,,,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30_NMDesc_dbh_enriched_can.txt,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_p_f_syn_20260201_Jul30_NMDesc_dbh_enriched_can.txt,437.0,True
ptc_variant_distance_all_groups_table.csv,1,False,,,False
snv_ADvariants.csv,1,False,,,False
snv_control_genes.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_control_genes.csv,70330.0,True
snv_control_distance_list.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_control_distance_list.csv,69016.0,True
pairs_snv_random.csv,1,False,/Users/qkelly/Desktop/clinvar/pairs_snv_random.csv,6424.0,True
snv_control_ADgenes.csv,1,True,,,False
snv_benign_ptc_nmdesc_can20260201.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_benign_ptc_nmdesc_can20260201.rds,3641991.0,True
snv_all.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_all.csv,4824660.0,True
secondary_structure_hierarchical_results.csv,1,False,,,False
snv_control_idr.txt,1,False,,,False
secondary_structure_hierarchical_model_list.rds,1,False,,,False
secondary_structure_hierarchical_convergence.csv,1,False,,,False
results_random_unpaired.csv,1,False,/Users/qkelly/Desktop/clinvar/results_random_unpaired.csv,6448.0,True
results_matched_paired.csv,1,False,/Users/qkelly/Desktop/clinvar/results_matched_paired.csv,6383.0,True
resetID_clinvar_20240819_Clnsig.txt,1,False,/Users/qkelly/Desktop/桌面 - q的MacBook Pro/clinvar/0819/resetID_clinvar_20240819_Clnsig.txt,166316941.0,True
repeated_sampling_1000_matched_all.csv,1,False,/Users/qkelly/Desktop/clinvar/repeated_sampling_1000_matched_all.csv,246207.0,True
snv_control_gnomAD_variants0406.csv,1,False,,,False
snv_control_idr0603.rds,1,False,,,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_FDR020.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_FDR020.rds,163117.0,True
snv_idr0603.rds,1,False,,,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_BH_FDR020.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_BH_FDR020.rds,163496.0,True
snv_plp_ptc_nmdesc_can_p_f_syn_20260201_AD_BH020.rds,1,False,,,False
snv_plp_ptc_nmdesc_can_p_f_syn_20260201.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_p_f_syn_20260201.rds,281822.0,True
snv_plp_ptc_nmdesc_can_filtered20260201_check.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can_filtered20260201_check.rds,3729134.0,True
snv_plp_ptc_nmdesc_can20260201.rds,1,False,/Users/qkelly/Desktop/clinvar/snv_plp_ptc_nmdesc_can20260201.rds,3784961.0,True
snv_plp_nmd_p_NMDenriched_omim.txt,1,True,,,False
snv_idr.txt,1,False,,,False
snv_control_uniprot_ids_out.txt,1,True,/Users/qkelly/Downloads/idr_batch_results/snv_control_uniprot_ids_out.txt,38465.0,True
snv_gene_summary_wald.csv,1,False,/Users/qkelly/Desktop/clinvar/snv_gene_summary_wald.csv,2844.0,True
