basename,n_scripts,any_absolute
ClinVar_pathogenic_allgenes.txt,1,True
ClinVar_pathogenic_NMDescapeneriched.genes.txt,1,True
ClinVar_all_vus_allgenes.txt,1,True
ClinVar_all_vus_NMDescapeneriched.genes.txt,1,True
ClinVar_NMD.rds,1,True
CIDER_model_results.csv,1,False
CIDER_descriptive_summary.csv,1,False
BM_info.csv,1,False
AD_gene_sets_v3.rds,1,False
AD_Tugce.csv,1,False
<CHR>_<zero*POS>_<REF>_<ALT>.fasta,1,False
3_01014662_CAA_C.fasta,1,False
17_00770305_TGA_T.fasta,1,False
.nmdesc_path_index.rds,1,False
.cut.syn.can.csv,1,False
ClinVar_vus_NMD0906.rds,1,False
Clinvar_p_NMD0906.rds,1,False
WT-vars_NMD_region.csv,1,True
Kat6b_PARSEV2_SCORES.csv,1,True
VARs_full_NMD_structural.csv,1,True
VAR-WT_structural_results.csv,1,True
Tugce_genelist_fortheppaer.xlsx,1,True
Supplemental_Figure_3_variant_level_summary.csv,1,False
Supplemental_Figure_3_gene_level_summary.csv,1,False
Peptide_LMM_results.csv,1,False
POGZ_combined_Pfam_PPI_locations.csv,1,False
POGZ_Pfam_domains_biomart.csv,1,False
POGZ_PPI_interface_residues.csv,1,False
POGZ_PPI_interface_ranges.csv,1,False
PARSE_model_results.csv,1,False
NMD_esc_extensive_list.xlsx,1,True
Matched_Gene_Level_Enrichment_summary.csv,1,False
Matched_Gene_Level_Enrichment_4panels_summary.csv,1,False
LMM_results_all.csv,1,False
feature_summary_statistics.csv,1,False
fs_AD_acat_full_annotated.csv,1,False
fs_all.csv,1,False
minus1_merged_uni_loc.csv,1,True
minus1_idr.txt,1,False
%s_FDR0.20_all.txt,1,False
minus1_control_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True
minus1_control_merged_uni_loc.csv,1,True
minus1_control_idr0603.rds,1,False
minus1_control_idr.txt,1,False
minus1_control_gnomAD_variants0406.csv,1,False
matching_log.csv,1,False
matched_gc.csv,1,False
idr_metrics.csv,1,False
hierarchical_model_list.rds,1,False
hierarchical_model_key_comparisons.csv,1,False
hierarchical_model_convergence.csv,1,False
group_summary_%s.csv,1,False
group_features_%s.csv,1,False
minus1_idr0603.rds,1,False
minus1_uniprot_ids_out.txt,1,True
fs_can_AD_%s_FDR%.2f.txt,1,False
minus1_variants0406.csv,1,False
pairs_fs_matched.csv,1,False
p_less.csv,1,False
pI_all_NMD.csv,1,True
pI_all_FL.csv,1,True
omim_AD_cds_length.csv,1,False
nmdesc_path_index.rds,1,False
nmd_esc_strict_list.xlsx,1,True
net_charge_var_nmd.csv,1,True
net_charge_var_FL.csv,1,True
net_charge_WT_nmd.csv,1,True
net_charge_WT_FL.csv,1,True
model_comparison_unmixed_vs_mixed.csv,1,False
mixed_effect_fdr.csv,1,False
minus1_vep_uniprot_intact.txt,1,False
minus1_vep_cadd_dbnsfp_tss_prot_nearestexon.txt,1,True
gnomad_snv_all.csv,1,False
gnomad_fs_filtered.csv,1,False
gnomad_fs_all.csv,1,False
genes7_canonical_variants.csv,1,False
fs_p_plus2_NMDenriched2_long.txt,1,True
fs_p_plus2_NMDenriched2_css.txt,1,True
fs_p_plus2_NMDenriched2_can.txt,1,True
fs_p_plus1_NMDenriched2_long.txt,1,True
fs_p_plus1_NMDenriched2_css.txt,1,True
fs_p_plus1_NMDenriched2_can.txt,1,True
fs_gene_summary_wald.csv,1,False
fs_disease_distance_list.csv,1,False
fs_control_gene.csv,1,False
fs_control_distance_list.csv,1,False
fs_combined_results20260201_AD_v3.rds,1,False
fs_combined_results20260201_AD_v3.csv,1,False
fs_can_AD_acat_suggestive_%.2f-%.2f.txt,1,False
fs_can_AD_acat_significant_FDR%.2f.txt,1,False
fs_can_AD_acat_FDR%.2f_all.txt,1,False
fs_variants20260201_benign_acat_clinvar.csv,1,False
fs_variants20260201_plp_clinvar.csv,1,False
fs_variants20260201_plp_wald_clinvar.csv,1,False
gene_all_matched.csv,1,False
gene_motif_max_AD.csv,1,False
gene_motif_max3.csv,1,False
gene_model_data.csv,1,False
gene_level_pli_loeuf_category.csv,1,False
gene_all_with_pfam_overlap.csv,1,False
gene_all_random.csv,1,False
gene_all_0826_random.csv,1,False
fs_variants20260201_vus_clinvar_acat_filtered.csv,1,False
gene_all_0826_matched.csv,1,False
gene_all_%s_%s.csv,1,False
gene_LCS_max_AD.csv,1,False
gene_LCS_max3.csv,1,False
gene.matrix.csv,1,False
fs_vus.rds,1,False
minus1_control_vep_uniprot_intact.txt,1,False
